Segment,Consumer,Column 1,Column 2,Column 3,Consumer Total,Corporate,Column 4,Column 5,Column 6,Corporate Total,Home Office,Column 7,Column 8,Column 9,Home Office Total
Ship Mode>>,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,85.43813575757578,135.61887636363636,295.4810484848485,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
Order ID,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,85.43813575757578,135.61887636363636,295.4810484848485,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-100293,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,85.43813575757578,135.61887636363636,295.4810484848485,18.758269090909085,7.218075151515152,21.31182303030303,91.056,91.056
CA-2011-100706,50.4295103030303,19.71493090909091,129.44,283.44759878787875,129.44,50.40632,24.01771636363636,85.43813575757578,135.61887636363636,295.4810484848485,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-100895,50.4295103030303,19.71493090909091,120.54364727272726,605.47,605.47,50.40632,24.01771636363636,85.43813575757578,135.61887636363636,295.4810484848485,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-100916,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,85.43813575757578,788.86,788.86,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-101266,50.4295103030303,19.71493090909091,13.36,283.44759878787875,13.36,50.40632,24.01771636363636,85.43813575757578,135.61887636363636,295.4810484848485,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-101560,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,542.3399999999999,135.61887636363636,542.3399999999999,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-101770,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,85.43813575757578,1.8690000000000004,1.8690000000000004,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-102274,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,85.43813575757578,865.5,865.5,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-102673,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,85.43813575757578,1044.4399999999998,1044.4399999999998,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-102988,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,4251.919999999999,135.61887636363636,4251.919999999999,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-103317,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,242.54600000000002,24.01771636363636,85.43813575757578,135.61887636363636,242.54600000000002,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-103366,149.95,19.71493090909091,120.54364727272726,283.44759878787875,149.95,50.40632,24.01771636363636,85.43813575757578,135.61887636363636,295.4810484848485,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-103807,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,50.40632,24.01771636363636,85.43813575757578,21.19,21.19,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
CA-2011-103989,50.4295103030303,19.71493090909091,120.54364727272726,283.44759878787875,474.1356872727274,590.7620000000002,24.01771636363636,85.43813575757578,135.61887636363636,590.7620000000002,18.758269090909085,7.218075151515152,21.31182303030303,132.72395757575757,180.01212484848483
